Supermarket,Meal,Price,Review,Calories,Fat,Saturates,Carbohydrates,Sugar,Fibre,Protein,Salt,Cooking Time,Vegan
Tesco,Tesco Finest Cottage Pie 400G,3.75,2.4,418,13.9,6.7,43.4,5.8,5.5,27.1,1.9,35,0
Tesco,Charlie Bigham's Lasagne 355G,5.00,4.9,713,41.7,19.8,37.9,10.6,6.2,40.2,2.42,30,0
Tesco,Tesco Chicken Jalfrezi & Pilau Rice 450G,2.75,3.7,446,10.1,1.7,51.5,9.7,12.7,30.8,1.9,15,0
Tesco,Tesco Finest Chicken Korma With Pilau Rice 450G,3.75,1.8,556,21,11.5,59.8,8.3,8.3,27.7,2.5,30,0
Tesco,Tesco Finest Roasted Harissa Squash With Orzo 400G,3.75,2.9,384,11.9,1,54,18.7,10.4,10,1.76,25,1
Tesco,Tesco Indian Bombay Potato 300G,1.75,2.6,242,9,0.8,32.4,9.6,6.4,5,1.6,10,1
Tesco,Kirsty's Lentil Lasagne 400G,3.25,1.8,282,9.3,5.9,47.3,7.8,15.2,16.8,1.68,25,1
Tesco,Tesco Chicken In Mushroom Sauce 370G,2.50,3.1,281,7.8,3.3,22.3,4.2,4.7,28.1,1,25,0
Tesco,Plant Chef Roasted Vegetable & Pesto,2.50,4.6,351,15.1,3.5,44.5,7.4,5.9,6.4,1,0,1
Tesco,Tesco Smoked Salmon & King Prawn Sushi 298G,5.00,2.6,461,9.5,1.3,75.8,16.1,2.1,16.8,2.6,0,0
Tesco,Tesco Southern Fried Mini Fillets,2.70,3.7,620,26.6,2.6,40.6,3.2,3.8,42.2,2,18,0
Tesco,Tesco Maple Bacon & Extra Mature Cheddar Quiche,3.10,3.7,1128,74.8,35.6,68.8,8.8,2.8,43.6,2,20,0
Waitrose,No.1 Fish Pie,4.25,3.8,423,18.7,8.8,37.5,6.5,2.2,25.1,2.18,35,0
Waitrose,Waitrose Classics Chilli Con Carne,3.00,3.9,644,21,8.6,82,6.9,8.8,27.3,1.59,25,0
Waitrose,No.1 Lamb Moussaka,7.75,3.8,511,31.1,11.6,33.6,10.3,4.1,22.1,1.9,45,0
Waitrose,Waitrose Asian Green Thai Vegetable Curry,4.25,3.4,374,25.8,12.8,26.8,21.4,7.8,4.6,2.6,20,1
Waitrose,Waitrose Chinese 6 Vegetable Spring Rolls,2.50,4,516,15,1.2,80.4,5.4,6.6,10.8,2.7,22,1
Waitrose,Charlie Bigham's spinach & ricotta cannelloni,8.25,3.8,963.6,63.4,30,65.3,16.5,7.9,29.1,4,30,1
Waitrose,Waitrose Chinese Egg Fried Rice,2.00,4.2,604,16.6,3.4,92.6,1.4,9.2,16.2,2,20,1
Sainsburys,Sainsbury's Macaroni Cheese 375g,2.50,1.7,500,20.1,12.6,52.9,4.4,7,23.3,1.95,35,0
Sainsburys,"Sainsbury's Chicken Jambalaya, Be Good To Yourself 400g",3.00,3.7,389,7.5,1.4,49.7,15.1,12.8,24.3,1.78,30,0
Sainsburys,"Sainsbury's Tomato & Basil Chicken, Be Good To Yourself 400g",3.00,3.2,351,7.9,0.9,42,11.2,6.1,24.9,1.76,35,0
Sainsburys,Plant Pioneers Vegan No Chicken Sweet & Sour with Tofu Fried Rice 400g,2.75,3.8,519,13,1.3,74.7,27,8.2,21.7,1.08,20,1
Sainsburys,Sainsbury's Classics Beef Casserole with Dumplings 400g,2.50,3.3,492,18.2,8.1,50.4,7.5,4.6,29.4,2.68,40,0
Sainsburys,Sainsbury's Indian Vegetable Masala 300g ,2.00,4.3,300,20,3.2,19,13,7.8,6.4,1.8,15,1
M&S,King Prawn Bhuna,5.25,4,308,15.2,2.4,13.2,12.8,6,26.8,2.32,20,0
M&S,Green Vegetable Medley,3.20,3.5,204,14,6,12.3,6,11.4,9.6,0.6,5,1
M&S,Cauliflower Cheese,2.65,3,348,23.1,13.2,14.1,6.3,3.6,19.2,2.1,25,0
M&S,Sweet Rosa Verde Salad,2.65,4.2,36,0.6,0.16,3.9,3.9,2.9,1.6,0.1,0,1
M&S,Scottish Hot Smoked Honey Salmon Flakes,4.00,4.6,260,16.7,3.6,8.3,3.8,0.4,26.5,1.1,0,0
M&S,Super Nutty Wholefood Salad,2.35,4.3,330,17.3,2,15.6,2,9.2,13.2,0.66,0,1
M&S,Bang Bang Noodle Slaw,2.60,3.9,222,8.8,1.8,14,7.6,3.8,7.9,0.98,0,1
M&S,Mexican Style Rice & Avocado,2.60,3.8,280,10.4,1.6,37.6,6.4,5.6,6.2,1.1,0,1
M&S,Italian Pasta & Spinach Salad,2.60,3.4,458,20,3.8,33,2.2,3.6,14.8,2.06,0,0
M&S,Falafel & Huomous,2.00,3.6,253,15.3,1.7,17.9,1.8,5.8,8,1.18,0,1
M&S,Mexican Style Bean & Sweet Potato Wrap,4.00,4.1,450,15,6.9,64,12.1,5.2,11.9,1.3,0,1
